Time,Open,High,Low,Close,Volume
1777278720000,77567.1,77590.5,77567.1,77583.8,1.19923105
1777278660000,77597,77597,77567.1,77567.2,2.59047595
1777278600000,77574.8,77605.9,77555.5,77597,3.86214514
1777278540000,77583.6,77605.3,77574.7,77574.8,1.84432863
1777278480000,77600.1,77600.6,77582.7,77583.6,5.6126261
1777278420000,77600.1,77638.7,77600,77600,1.06158666
1777278360000,77629.4,77629.4,77600,77600,1.26705664
1777278300000,77660,77666.7,77628.1,77629.3,1.20502812
1777278240000,77619.1,77659.2,77612.4,77659.2,4.74241147
1777278180000,77617.9,77632.6,77602.4,77619,1.91994435
1777278120000,77627.8,77648.9,77617.8,77617.8,2.57220915
1777278060000,77661.9,77664.9,77627.7,77627.8,3.67608552
1777278000000,77663.2,77676.3,77661.8,77661.8,1.72563849
1777277940000,77664.1,77675.2,77653.1,77663.2,1.56967234
1777277880000,77664.1,77692.9,77664.1,77664.1,3.21666012
1777277820000,77663.6,77669.4,77663.6,77664,0.33549787
1777277760000,77667.8,77667.9,77647.4,77663.5,3.80140218
1777277700000,77640.8,77672,77640.8,77667.2,1.29512003
1777277640000,77636.5,77640,77630,77640,2.11405929
1777277580000,77643.5,77648.9,77617.8,77636.4,0.95491458
1777277520000,77635.4,77650.9,77635.4,77643.4,0.56076246
1777277460000,77616.2,77633.3,77616.2,77633.3,2.12543562
1777277400000,77621.9,77639.2,77612,77616.2,6.46630818
1777277340000,77634.5,77648.1,77617.7,77621.8,1.97145834
1777277280000,77652.5,77652.6,77612.2,77634.6,1.75604025
1777277220000,77653.8,77688.8,77636.9,77652.6,1.99425809
1777277160000,77710.7,77710.7,77654,77654,0.82779368
1777277100000,77712.6,77730.4,77701.7,77710,2.06397439
1777277040000,77693.5,77712.5,77681.1,77712.5,1.40263575
1777276980000,77677.3,77693.6,77660,77693.5,2.81641919
1777276920000,77626.4,77677.4,77626.4,77677.3,1.69643417
1777276860000,77649.9,77676.6,77590.5,77626.3,4.32663952
1777276800000,77611,77661.6,77584.1,77649.9,10.65462432
1777276740000,77650.4,77650.5,77611,77611,1.59547781
1777276680000,77697.7,77697.8,77650.4,77650.5,4.47780161
1777276620000,77713.9,77719.2,77692.7,77697.7,6.47571575
1777276560000,77711,77714,77707.2,77714,2.31976939
1777276500000,77690.4,77711.1,77677.9,77711,2.32144193
1777276440000,77732.9,77732.9,77677.6,77690.4,17.27836658
1777276380000,77728.8,77744.5,77728.8,77732.9,2.53122814
1777276320000,77723,77728.8,77703.7,77728.8,4.41007572
